Titel;Billede;Kommentar;Udlån
overskrift;3D Printere;-;-
PRUSA I3 MK3S+ 3D PRINTER;https://cdn.prusa3d.com/content/images/product/default/3325.jpg;3D filament printer.;Kan benyttes i DD Lab
Ultimaker 3 Extended;https://facilities.create.aau.dk/wp-content/uploads/Ultimaker_3_Extended_1_3D_Printer-682x1024.png;3D filament printer.;Kan benyttes i DD Lab
Ultimaker 3;https://images.ctfassets.net/7cnpidfipnrw/1SC74VDuyQTUS2hz5mZcgL/88824829fad6c0314be36fe2f771cf9b/Ultimaker-3-3D-printer-hero.png?fm=webp&w=2048;3D filament printer.;Kan benyttes i DD Lab
overskrift;Audiooptagere;-;-
Olympus Linear Recorder LS-P2;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWZ46Y1m7Mzl_yaK5nYZgPriTFCXXwq49ccESdiKzAInvmvzxQThqyg3pHb4kHj9O3jpo&usqp=CAU; ;Kan lånes fra DD Lab
Olympus LS-14 Linear PCM Recorder;https://m.media-amazon.com/images/I/8196ncKQTbL._AC_SL1500_.jpg;Inklusiv pose, usb-kabel, vindhætte og stand;Kan lånes fra DD Lab
Marantz PMD620 recorder;https://cdn.mos.cms.futurecdn.net/55181d9f9d9b8e3e575069586f570bdf-1200-80.jpg; ;Kan lånes fra DD Lab
overskrift;Højtalere;-;-
M-Audio BX6 Aktiv Speakere;https://m.media-amazon.com/images/I/51NuMY89wdL._AC_SX425_.jpg;-;Kan lånes fra DD Lab
overskrift;Kameraer;-;-
GoPro Hero 5+;https://static.gopro.com/aem/en/us/out-of-the-box-experience/hero-5/images/H5B_Mobile_Lockup.png;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
GoPro Hero 3+;https://www.elgiganten.dk/image/dv_web_D180001002296703/GOPROHER3PSIL/gopro-hero-3-silver-edition-action-kamera--pdp_zoom-3000--pdp_main-540.jpg;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Olympus Digital Camera FE-270;https://i0.wp.com/camerausermanual.net/wp-content/uploads/2018/03/Olympus-FE-270-Manual-camera-front-and-rear-side.jpg?ssl=1;Digital Kamera;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
Panasonic AVCH 3CCD AG-HMC71E HD;https://www.spectratech.gr/Web/Panasonic/www/AG-HMC71E.jpg;Videokamera;Kan lånes fra DD Lab
Canopus ADVC110 DV-Converter;https://cvp.com/images/products/altimage/04%2001%2020081199438060ADVC110-500.jpg;Bi-directional analogue to DV converter. Use ADVC110 to connect all analogue and digital video cameras, decks and editing systems.;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
overskrift;Mikrofoner;-;-
RØDE Blimp m. Extension (t. NTG-8);https://cvp.com/images/products/altimage/31-07-20171501494984blimp-front-side.jpg;Med pels og adapter-kabel.;Kan lånes fra DD Lab
LeWitt LCT 540 S;https://dt7v1i9vyp3mf.cloudfront.net/styles/header/s3/imagelibrary/l/lewitt-540sz_01-4WWipsknk1P9ULWWqkDOfMBn1lR60cFp.jpg;Stor membran mikrofon Inklusiv Shockmount, Carrycase etc.;Kan lånes fra DD Lab
Studio Six Digital iTestMic2;https://studiosixdigital.com/_Media/itestmic2-banner-cmyk_med.png;iOS kompatibel måle mikrofon;Kan lånes fra DD Lab
overskrift;Projektorer;-;-
BenQ MH733;https://image.benq.com/is/image/benqco/01-mh733-front30?$ResponsivePreset$&fmt=png-alpha;;Kan lånes fra DD Lab
Dell M318WL;https://i.dell.com/images/global/products/proj/proj_highlights/projector-m318wl-overview1.jpg;Mini projektor;Kan lånes fra DD Lab
Optoma DX733;https://cdn.mos.cms.futurecdn.net/c4ca365999e0c4480249358d9734f960.jpg; ;Kan lånes fra DD Lab
ASK Proxima C350;https://www.projectorcentral.com/img.cfm?pid=3936; ;Kan lånes fra DD Lab
Acer P 5370W Projektor;https://www.projectorcentral.com/img.cfm?pid=4241; ;Kan lånes fra DD Lab
overskrift;Værktøj;-;-
Bosch GCM 12 GDL Kap og Gerings-sav;https://www.bosch-professional.com/ocs/dk/da/ocsmedia/368167-16/dimensional-drawing-image/767x767/kap-og-geringssav-gcm-12-gdl-0601b23600.jpg;;Kan benyttes i DD Lab
Bacho Topnøglesæt;https://pimdatacdn.bahco.com/media/sub376/177904009aee8b3f.png;;Kan benyttes i DD Lab. (<a href='mailto:ddlabau@gmail.com'>Skriv en mail til DD Lab</a> for at anmode om udlån.)
Bosch GAM 22 MF Digital Vinkelmåler;https://m.media-amazon.com/images/I/71B9un6evML._AC_SL1500_.jpg;Digital Vinkelmåler;Kan lånes fra DD Lab
Bosch GLM 30 + 40 Lasermåler;https://www.bosch-professional.com/ocs/ao/en/ocsmedia/337111-54/application-image/1434x828/laser-measure-glm-40-0601072900.png;Laser afstandsmåler;Kan lånes fra DD Lab
Bosch Quigo Green Laser Krydsmåler;https://www.bosch-diy.com/imagestorage/fr-fr/outils-de-mise-a-niveau-2680181-hires-png-rgb-oneux-357351_w_750_h_421.png;Krydsmåler;Kan lånes fra DD Lab
RYOBI RRT1600 Overfræser;https://static.ryobitools.eu/remote.axd/ryobi-media-images.s3.amazonaws.com/hi/RRT1600-K--Hero_1.jpg?v=7FB9E50E4DEC3912C57FACB4A110C47E;Overfræser;Kan benyttes i DD Lab. (<a href='mailto:ddlabau@gmail.com'>Skriv en mail til DD Lab</a> for at anmode om udlån.)
Loddekolbe, ZD-937;https://cdn1.botland.store/60997-large_default/soldering-station-zd-937-48w.jpg;Loddekolbe;Kan benyttes i DD Lab. (<a href='mailto:ddlabau@gmail.com'>Skriv en mail til DD Lab</a> for at anmode om udlån.)
Loddestation, LF-389D, Xytronic;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSnR7ATp3M6W-N36k6sUZvtI5bEG6oQGLwuw&usqp=CAU;Loddestation;Kan benyttes i DD Lab. (<a href='mailto:ddlabau@gmail.com'>Skriv en mail til DD Lab</a> for at anmode om udlån.)
BGS 2192 Tools Pocket Size Digital Multimeter;https://www.diag-auto.biz/eshop/812-home_default/digital-multimeter-.jpg;Mini Multimeter;Kan lånes fra DD Lab
Mastech MS8264 Multimeter;https://mastech-group.com/datas/upload/finder/files/20210928154310659.png;Multimeter;Kan lånes fra DD Lab
Amprobe 5XP-A;https://www.amprobe.com/wp-content/uploads/2019/08/PD_15XP-1.jpg;Multimeter;Kan lånes fra DD Lab
overskrift;Andet;-;-
AxiDraw SE/A3 Plotter;https://cdn.evilmadscientist.com/sites/axidraw/sea3_1920c.jpg;The AxiDraw is a simple, modern, precise, and versatile pen plotter, capable of writing or drawing on almost any flat surface. It can write with your favorite fountain pens, permanent markers, and other writing implements to handle an endless variety of applications.;Kan benyttes i DD Lab
