Titel;Billede;Kommentar;Udlån
overskrift;3D Printere;-;-
PRUSA I3 MK3S+ 3D PRINTER;https://cdn.prusa3d.com/content/images/product/default/3325.jpg;3D filament printer.;Kan benyttes i DD Lab
Ultimaker 3 Extended;https://facilities.create.aau.dk/wp-content/uploads/Ultimaker_3_Extended_1_3D_Printer-682x1024.png;3D filament printer.;Kan benyttes i DD Lab
Ultimaker 3;https://images.ctfassets.net/7cnpidfipnrw/1SC74VDuyQTUS2hz5mZcgL/88824829fad6c0314be36fe2f771cf9b/Ultimaker-3-3D-printer-hero.png?fm=webp&w=2048;3D filament printer.;Kan benyttes i DD Lab
overskrift;Audiooptagere;-;-
Olympus Linear Recorder LS-P2;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWZ46Y1m7Mzl_yaK5nYZgPriTFCXXwq49ccESdiKzAInvmvzxQThqyg3pHb4kHj9O3jpo&usqp=CAU; ;Kan lånes fra DD Lab
Olympus LS-14 Linear PCM Recorder;https://m.media-amazon.com/images/I/8196ncKQTbL._AC_SL1500_.jpg;Inklusiv pose, usb-kabel, vindhætte og stand;Kan lånes fra DD Lab
Marantz PMD620 recorder;https://cdn.mos.cms.futurecdn.net/55181d9f9d9b8e3e575069586f570bdf-1200-80.jpg; ;Kan lånes fra DD Lab
overskrift;Højtalere;-;-
M-Audio BX6 Aktiv Speakere;https://m.media-amazon.com/images/I/51NuMY89wdL._AC_SX425_.jpg;-;Kan lånes fra DD Lab
overskrift;Kameraer;-;-
GoPro Hero 5+;;;Skriv til <a href='mailto:rasl@cc.au.dk'>rasl@cc.au.dk</a>  angående udlån.
overskrift;Mikrofoner;-;-
RØDE Blimp m. Extension (t. NTG-8);https://cvp.com/images/products/altimage/31-07-20171501494984blimp-front-side.jpg;Med pels og adapter-kabel.;Kan lånes fra DD Lab
LeWitt LCT 540 S;https://dt7v1i9vyp3mf.cloudfront.net/styles/header/s3/imagelibrary/l/lewitt-540sz_01-4WWipsknk1P9ULWWqkDOfMBn1lR60cFp.jpg;Stor membran mikrofon Inklusiv Shockmount, Carrycase etc.;Kan lånes fra DD Lab
Studio Six Digital iTestMic2;https://studiosixdigital.com/_Media/itestmic2-banner-cmyk_med.png;iOS kompatibel måle mikrofon;Kan lånes fra DD Lab
overskrift;Projektorer;-;-
BenQ MH733;https://image.benq.com/is/image/benqco/01-mh733-front30?$ResponsivePreset$&fmt=png-alpha;;Kan lånes fra DD Lab
Dell M318WL;https://i.dell.com/images/global/products/proj/proj_highlights/projector-m318wl-overview1.jpg;Mini projektor;Kan lånes fra DD Lab
Optoma DX733;https://cdn.mos.cms.futurecdn.net/c4ca365999e0c4480249358d9734f960.jpg; ;Kan lånes fra DD Lab
ASK Proxima C350;https://www.projectorcentral.com/img.cfm?pid=3936; ;Kan lånes fra DD Lab
Acer P 5370W Projektor;https://www.projectorcentral.com/img.cfm?pid=4241; ;Kan lånes fra DD Lab
overskrift;Andet;-;-
AxiDraw SE/A3 Plotter;https://cdn.evilmadscientist.com/sites/axidraw/sea3_1920c.jpg;The AxiDraw is a simple, modern, precise, and versatile pen plotter, capable of writing or drawing on almost any flat surface. It can write with your favorite fountain pens, permanent markers, and other writing implements to handle an endless variety of applications.;Kan benyttes i DD Lab
LaCie 5T USB-C/Thunderbolt Drive;https://store.storeimages.cdn-apple.com/4668/as-images.apple.com/is/HNY12?wid=1144&hei=1144&fmt=jpeg&qlt=95&.v=1595971704000;Bærbar Harddisk;Kan lånes fra DD Lab
K´N´K Maxx Air 24 Vinylcutter;http://www.createncraft.com/wp-content/uploads/2015/09/MAXX-Air-KNK.png;Vinylcutter;Kan benyttes i DD Lab
Parrot A.R.Drone 2.0;https://m.media-amazon.com/images/I/51ffvumBsEL._AC_SX450_.jpg;Drone;Kan lånes fra DD Lab
Structure Sensor;https://structure.io/static/occipital/images/v2/structure-sensor-pro/renders/st02b-partipad-angle.png; Til 3D scanning og augmented reality. Fungerer sammen med iPad, som DD Lab har. Fungerer også sammen med Skanect Pro-software.;Kan lånes fra DD Lab
